TAM AMOSTRA,TEMPO,SPECS_ID
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
100,65,1
1000,7628,1
10000,796461,1
